List of files ,Subject
4(1)/DIT(EB)/2019-20/Pr.CCIT,"Correspondence with DIT(EB), New Delhi"
4(1)/SBA/DDO/2019-20/Pr.CCIT,Correspondence with SBA/DDO
4(1)/RE&BE/2019-20/Pr.CCIT,"RE 2019-20 BE 2019-20 of Pr.CCIT, bengaluru"
4(1)/SSE/2019-20/Pr.CCIT,Secret Service Expenditure
4(1)/ZAO/2019-20/Pr.CCIT,Correspondence with PCCA / Zonal Accounts Office
5(1)/ MES/2019-20/Pr.CCIT,Monthly Expenditure Statement
5(2)/2019-20/Pr.CCIT,Quarterly Statement on Actual Expenditure of Pay & Allowances
4(3)?ITRC/2019-20/Pr.CCIT,Grant-in-aid to ITS & RC
9(1)/2019-20/Pr.CCIT,Declaration of DDO / Head of Office
4(6)/2019-20/Pr.CCIT,Circulars on Economy Measures
11(2)/2019-20/PR.CCIT,Preparation of seniority/waiting list for quarter allotments
11(2)/2019-20/PR.CCIT,Type-V Quarter allotments
11(2)/2019-20/PR.CCIT,Type-IV Quarter allotments
11(2)/2019-20/PR.CCIT,Type-III Quarter allotments
11(2)/2019-20/PR.CCIT,Type-II Quarter allotments
11(2)/2019-20/PR.CCIT,Transit accomodation
11(2)/2019-20/PR.CCIT,"IT Colony, Austin town, Electricity & water charges"
11(2)/2019-20/PR.CCIT,"IT Colony, Jaymahal, Electricity & water charges"
11(2)/2019-20/PR.CCIT,"IT Colony, Jalahalli, Electricity & water charges"
11(2)/2019-20/PR.CCIT,"IT Colony, Yelahanka, Electricity & water charges"
11(2)/2019-20/PR.CCIT,"IT Colony, Infantry road, Electricity & water charges"
11(2)/2019-20/PR.CCIT,"Dona Cynthia, Electricity & water charges"
11(2)/2019-20/PR.CCIT,"NGV, Electricity & water charges"
11(2)/2019-20/PR.CCIT,"Golden Enclave, Electricity & water charges"
11(2)/2019-20/PR.CCIT,"C R Building, Electricity & water charges"
11(2)/2019-20/PR.CCIT,Asset register
11(2)/2019-20/PR.CCIT,HRMS details in respect of quarter allotments
11(2)/2019-20/PR.CCIT,"Maintenance works & minor repairs – Ganga Block, NGV"
11(2)/2019-20/PR.CCIT,"Maintenance works & minor repairs– Kumaradhara Block, NGV"
11(2)/2019-20/PR.CCIT,"Maintenance works & minor repairs – Nethravathi Block, NGV"
11(2)/2019-20/PR.CCIT,"Maintenance works & minor repairs – Shimsha Block, NGV"
11(2)/2019-20/PR.CCIT,"Maintenance works & minor repairs– Cauvery Block, NGV"
11(2)/2019-20/PR.CCIT,Maintenance works & minor repairs – Golden Enclave
11(2)/2019-20/PR.CCIT,"Maintenance works & minor repairs – IT Colony, Infantry road"
11(2)/2019-20/PR.CCIT,"Maintenance works & minor repairs – IT Colony, Jaymahal"
11(2)/2019-20/PR.CCIT,"Maintenance works & minor repairs – IT Colony, Yelahanka"
11(2)/2019-20/PR.CCIT,Maintenance works – C R Building
11(2)/2019-20/PR.CCIT,Maintenance works – Dona Cynthia
11(2)/2019-20/PR.CCIT,Correspondence with CPWD Authorities
11(2)/2019-20/PR.CCIT,Correspondence with other state Govt Authorities
11(2)/2019-20/PR.CCIT,Other works entrusted by the Higher Authorities
1/2019-20/Pr.CCIT/Tech,CAP - I
1-A/2019-20/Pr.CCIT/Tech,"CAP - I, From other charges"
1-B/2019-20/Pr.CCIT/Tech,"CAP -I from DIT(Int.Tax), LTU & Exemptions"
2/2019-20/Pr.CCIT/Tech,Budget File(Target & Achievements)
2-A/2019-20/Pr.CCIT/Tech,Target Cash Collection(TCC)
2-C/2019-20/Pr.CCIT/Tech,ASSESSEE  NOT TRACEABLE
2-C(1)/2019-20/Pr.CCIT/Tech,EXAMINATION OF GRANTS
2-B/2019-20/Pr.CCIT/Tech,Daily Collection
2-D/2019-20/Pr.CCIT/Tech,augmentation of BUDGET COLLECTION
2-D(1)/2019-20/Pr.CCIT/Tech,REVIEW BY MEMBER® ON 28/9/2012W.R.T BUDGET COLLECTION
2-E/2019-20/Pr.CCIT/Tech,infractuous arrear demand
2-F/2019-20/Pr.CCIT/Tech,collection of unpaid self assessment tax
2-H/2019-20/Pr.CCIT/Tech,GUIDELINES FOR SEEKING INFORMATION FORM FIU-IND
3/2019-20/Pr.CCIT/Tech,Monthly DO - (CCIT-I - pre-restructure) PR.CCIT
3-A/2019-20/Pr.CCIT/Tech,Monthly DO - CIT-I
